,loc_id,status
3,2214,The food just so so here [围脖] 我在#首尔焖鲜汇# http://t.cn/zjtAtq9
7,25498,[哈哈] 我在这里：http://t.cn/zlR0iJe
9,53220,要和这里说再见了，辛苦的两个月。。[拜拜] 我在#荣安驾校# http://t.cn/zljMNrS
10,53214,[哈哈] 我在这里：http://t.cn/zj57qo8
12,21408,住的真够远[泪][泪][泪][泪] 我在#上海馨佳园# http://t.cn/zlIwIg9
14,21408,肚肠出来了[哈哈] 我在这里：http://t.cn/zlIwIg9
15,49448, @Joke_Li_CH  Happy Day[爱你] 我在这里：http://t.cn/zjcKBGB
16,53208, @姜姝婧 [威武][威武][威武][威武] 我在这里：http://t.cn/zj5ytHk
17,21408,白天腰酸，晚上到家肚子疼到現在[怒]，看來明天乾不了活了[生病] 我在这里：http://t.cn/zlIwIg9
18,12820,哼！不要我乖的时候喜欢我，我调皮的时候厌烦我！坏蛋！[哼]@我长草了 @Eu_voce @尘栖 @格格千岁09 我在这里：http://t.cn/zlHkAO9
